"","folds","mean_cv_se"
"1","2",125589.246336732
"2","2",128905.268408032
"3","2",125975.244552053
"4","2",114496.953558696
"5","2",130061.103543333
"6","2",116391.884132897
"7","2",128006.791463742
"8","2",121109.108635431
"9","2",124824.306406341
"10","2",127151.503793183
"11","2",121764.317634112
"12","2",118786.609966801
"13","2",125840.708648237
"14","2",124065.628625517
"15","2",125590.797193366
"16","2",136825.38763892
"17","2",119733.563643862
"18","2",124420.762013225
"19","2",121737.042368705
"20","2",122252.119662452
"21","2",121041.342056031
"22","2",124353.808751465
"23","2",123711.056810161
"24","2",131917.314714767
"25","2",120095.141817077
"26","2",116117.40917194
"27","2",123744.354007682
"28","2",114944.669681091
"29","2",120609.475514391
"30","2",128847.544240486
"31","5",120575.829830939
"32","5",124483.660431642
"33","5",119022.241308422
"34","5",118413.340305466
"35","5",120269.39375691
"36","5",112698.29236257
"37","5",124634.865699306
"38","5",118338.819636034
"39","5",123968.507546166
"40","5",114782.783878867
"41","5",118632.91292081
"42","5",123863.590540296
"43","5",117858.809752517
"44","5",120842.415816013
"45","5",118606.16748816
"46","5",119037.620893841
"47","5",121954.134754606
"48","5",118595.321813863
"49","5",122396.873081258
"50","5",117871.968338726
"51","5",113057.382949133
"52","5",111977.202813993
"53","5",118846.560985578
"54","5",122623.761039597
"55","5",121010.206900638
"56","5",129704.272113752
"57","5",112797.711887879
"58","5",127837.023935336
"59","5",124393.519761668
"60","5",122741.11567419
"61","10",117205.027216401
"62","10",120501.90267735
"63","10",121139.151230446
"64","10",118717.816299698
"65","10",119526.18498376
"66","10",118527.719918653
"67","10",119097.053955678
"68","10",118896.7445689
"69","10",120681.239786017
"70","10",112046.195375155
"71","10",120639.530766064
"72","10",119307.33678792
"73","10",114885.440226834
"74","10",120654.26109736
"75","10",118422.754232523
"76","10",117193.022462589
"77","10",120723.328564188
"78","10",116870.916336407
"79","10",124178.815308487
"80","10",116980.775176315
"81","10",120485.43092619
"82","10",122207.852964582
"83","10",124188.442642558
"84","10",114347.793781525
"85","10",116991.348202631
"86","10",118477.682832118
"87","10",117965.785871831
"88","10",119387.725237864
"89","10",119551.968383621
"90","10",123557.752584059
